"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	1.500000000000000e+00	1.000000000000000e+00	1.161247291548778e+00	8.075578534144870e+02	-2.463845994671335e-02	5.308096678868284e+05	1.000050368823812e+05	3.000043179761358e+02	1.798886564709912e-05	2.002794237255237e+00	
1	1.479591836734694e+00	1.000000000000000e+00	1.161355491787594e+00	8.076143528319215e+02	1.490796666007607e-03	5.308554081190133e+05	1.000180820313713e+05	3.000154978070988e+02	6.457868346878969e-05	2.002710434925929e+00	
2	1.459183673469388e+00	1.000000000000000e+00	1.161286633536852e+00	8.075784265726712e+02	1.073283561634158e-02	5.308263191474535e+05	1.000097799044885e+05	3.000083825230619e+02	3.492823031597905e-05	2.002763840001092e+00	
3	1.438775510204082e+00	1.000000000000000e+00	1.161207441655893e+00	8.075370898008974e+02	4.880188860983323e-03	5.307928520242181e+05	1.000002320413460e+05	3.000001989155369e+02	8.287190929487615e-07	2.002825220133505e+00	
4	1.418367346938776e+00	1.000000000000000e+00	1.161188902450265e+00	8.075274091794438e+02	4.522160256357778e-04	5.307850148759761e+05	9.999799686689857e+04	2.999982830125176e+02	-7.154046790830244e-06	2.002839582119384e+00	
5	1.397959183673469e+00	1.000000000000000e+00	1.161193232527964e+00	8.075296674237227e+02	-9.738646965630600e-04	5.307868433954524e+05	9.999851891953916e+04	2.999987304964762e+02	-5.289573074436964e-06	2.002836220720555e+00	
6	1.377551020408163e+00	1.000000000000000e+00	1.161201997032639e+00	8.075342419036422e+02	-8.016844602818050e-04	5.307905469774856e+05	9.999957560333989e+04	2.999996362311412e+02	-1.515702357521930e-06	2.002829425888711e+00	
7	1.357142857142857e+00	1.000000000000000e+00	1.161206592104712e+00	8.075366407675086e+02	-2.468961060368015e-04	5.307924890827107e+05	1.000001296049368e+05	3.000001110899524e+02	4.628747741142954e-07	2.002825864873117e+00	
8	1.336734693877551e+00	1.000000000000000e+00	1.161207132789127e+00	8.075369233058933e+02	4.626039573321473e-05	5.307927177929441e+05	1.000001947922020e+05	3.000001669646105e+02	6.956864356782589e-07	2.002825446542013e+00	
9	1.316326530612245e+00	1.000000000000000e+00	1.161206337013401e+00	8.075365080533396e+02	9.628535738392137e-05	5.307923815858376e+05	1.000000988499821e+05	3.000000847285330e+02	3.530356503428526e-07	2.002826063691653e+00	
