"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	1.500000000000000e+00	1.000000000000000e+00	1.178403214939713e+00	8.164718731936733e+02	1.010968997485251e+00	5.380531247341337e+05	1.020804618640138e+05	3.017720776822885e+02	7.430220942906559e-03	1.989570215570402e+00	
1	1.479591836734694e+00	1.000000000000000e+00	1.175388913865175e+00	8.149109139261155e+02	8.393111734673766e-01	5.367812558856582e+05	1.017149244044482e+05	3.014625967590212e+02	6.124730015886288e-03	1.991880185106350e+00	
2	1.459183673469388e+00	1.000000000000000e+00	1.170400565166773e+00	8.123235566340669e+02	5.533299965062035e-01	5.346758293598908e+05	1.011106686891663e+05	3.009489310306013e+02	3.966673889879739e-03	1.995718934637552e+00	
3	1.438775510204082e+00	1.000000000000000e+00	1.167112231141626e+00	8.106141722224017e+02	3.612240306408489e-01	5.332873286666302e+05	1.007129983949948e+05	3.006098803391068e+02	2.546422839267118e-03	1.998256086819270e+00	
4	1.418367346938776e+00	1.000000000000000e+00	1.164965397659819e+00	8.094965482325393e+02	2.335944661576896e-01	5.323805718748239e+05	1.004536571214322e+05	3.003883405427507e+02	1.620204005114855e-03	1.999915343433706e+00	
5	1.397959183673469e+00	1.000000000000000e+00	1.163576758798907e+00	8.087729475222608e+02	1.496491331291681e-01	5.317939464893754e+05	1.002860268150300e+05	3.002449647099253e+02	1.021524339393000e-03	2.000989796042292e+00	
6	1.377551020408163e+00	1.000000000000000e+00	1.162686764704795e+00	8.083088999070551e+02	9.496146886840391e-02	5.314179280412047e+05	1.001786403549437e+05	3.001530422699230e+02	6.380012676560001e-04	2.001678916827741e+00	
7	1.357142857142857e+00	1.000000000000000e+00	1.162121654431632e+00	8.080141333817182e+02	5.966903177383732e-02	5.311791540719660e+05	1.001104745163553e+05	3.000946627744743e+02	3.945518441261812e-04	2.002116680055791e+00	
8	1.336734693877551e+00	1.000000000000000e+00	1.161766269394685e+00	8.078287157472430e+02	3.711035558375808e-02	5.310289877699808e+05	1.000676146439983e+05	3.000579443664449e+02	2.414808714225469e-04	2.002392058867109e+00	
9	1.316326530612245e+00	1.000000000000000e+00	1.161545008422202e+00	8.077132579471403e+02	2.283308094534715e-02	5.309354924460795e+05	1.000409334622587e+05	3.000350818053271e+02	1.461909366383355e-04	2.002563539534367e+00	
10	1.295918367346939e+00	1.000000000000000e+00	1.161408697175482e+00	8.076421217069366e+02	1.389015255758013e-02	5.308778923142451e+05	1.000244973209333e+05	3.000209962745911e+02	8.749043190473460e-05	2.002669194936651e+00	
11	1.275510204081633e+00	1.000000000000000e+00	1.161325648734568e+00	8.075987790917985e+02	8.349283889040632e-03	5.308427988042277e+05	1.000144839593133e+05	3.000124143266225e+02	5.172842611900707e-05	2.002733570768814e+00	
12	1.255102040816326e+00	1.000000000000000e+00	1.161275641593802e+00	8.075726797349628e+02	4.955622024713087e-03	5.308216673743273e+05	1.000084546384167e+05	3.000072466654584e+02	3.019513720261915e-05	2.002772336094409e+00	
13	1.234693877551021e+00	1.000000000000000e+00	1.161245901590237e+00	8.075571577743689e+02	2.902306886555110e-03	5.308091001848126e+05	1.000048689698939e+05	3.000041733477196e+02	1.738917819249244e-05	2.002795391118022e+00	
14	1.214285714285714e+00	1.000000000000000e+00	1.161228445449894e+00	8.075480469507471e+02	1.675936619298782e-03	5.308017237776731e+05	1.000027643530924e+05	3.000023694279321e+02	9.872689615804123e-06	2.002808923734777e+00	
15	1.193877551020408e+00	1.000000000000000e+00	1.161218340677803e+00	8.075427729838965e+02	9.534488887886169e-04	5.307974538334964e+05	1.000015460683706e+05	3.000013251960173e+02	5.521672752105848e-06	2.002816757429491e+00	
