"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	1.500000000000000e+00	1.000000000000000e+00	1.197091325764972e+00	8.255940989292792e+02	1.929473131636527e+00	5.458311206251823e+05	1.044548644127916e+05	3.039707052474276e+02	1.591023004568436e-02	1.973221194150019e+00	
1	1.479591836734694e+00	1.000000000000000e+00	1.193528478881763e+00	8.234815625362809e+02	1.487323849494433e+00	5.442743356843131e+05	1.040762336127650e+05	3.037729693356125e+02	1.455797718844655e-02	1.974687575743667e+00	
2	1.459183673469388e+00	1.000000000000000e+00	1.185839217560611e+00	8.191915493610101e+02	1.003129681548146e+00	5.409679849809021e+05	1.032056107092375e+05	3.031850931692034e+02	1.144860967584807e-02	1.979052032901294e+00	
3	1.438775510204082e+00	1.000000000000000e+00	1.179578385614625e+00	8.161049499776797e+02	7.058018408220742e-01	5.383564216038546e+05	1.024161543130405e+05	3.024628245502648e+02	8.629122546573076e-03	1.984424231411651e+00	
4	1.418367346938776e+00	1.000000000000000e+00	1.174576538726767e+00	8.137123768255169e+02	4.978793258440305e-01	5.362848199416527e+05	1.017706442055417e+05	3.018363545565084e+02	6.323729305506018e-03	1.989092878562888e+00	
5	1.397959183673469e+00	1.000000000000000e+00	1.170810723020260e+00	8.119490987528916e+02	3.531024145981737e-01	5.347328742501662e+05	1.012769170871132e+05	3.013381562864037e+02	4.560418168261563e-03	1.992811612593872e+00	
6	1.377551020408163e+00	1.000000000000000e+00	1.168038021618747e+00	8.106631612994667e+02	2.503846427749415e-01	5.335927659334929e+05	1.009108338348103e+05	3.009616506072277e+02	3.252977981465510e-03	1.995625540115402e+00	
7	1.357142857142857e+00	1.000000000000000e+00	1.166029580022659e+00	8.097372493613105e+02	1.771946967731548e-01	5.327680836055513e+05	1.006444871046121e+05	3.006843111766056e+02	2.301739659328970e-03	1.997700283364292e+00	
8	1.336734693877551e+00	1.000000000000000e+00	1.164589288065485e+00	8.090757278636272e+02	1.249151384099480e-01	5.321772118790257e+05	1.004529609856755e+05	3.004832700324800e+02	1.617717805983921e-03	1.999205293444931e+00	
9	1.316326530612245e+00	1.000000000000000e+00	1.163564535945252e+00	8.086064453647176e+02	8.762969462345505e-02	5.317571051974244e+05	1.003164000784563e+05	3.003390537355638e+02	1.130000280200901e-03	2.000285450619073e+00	
10	1.295918367346939e+00	1.000000000000000e+00	1.162840215782567e+00	8.082756211418604e+02	6.112606428843900e-02	5.314603463557588e+05	1.002196924900155e+05	3.002364166562369e+02	7.846160357695877e-04	2.001054462551022e+00	
11	1.275510204081633e+00	1.000000000000000e+00	1.162331376680801e+00	8.080438343297316e+02	4.237474197081181e-02	5.312519990068367e+05	1.001516273970492e+05	3.001638550291912e+02	5.415264180330270e-04	2.001598272003934e+00	
12	1.255102040816326e+00	1.000000000000000e+00	1.161976056430789e+00	8.078824334378768e+02	2.918124163938562e-02	5.311066034904117e+05	1.001040052432216e+05	3.001128703062753e+02	3.714472972200124e-04	2.001980443323985e+00	
13	1.234693877551021e+00	1.000000000000000e+00	1.161729448199234e+00	8.077707521962334e+02	1.995509812288375e-02	5.310057607432411e+05	1.000708850476100e+05	3.000772615356897e+02	2.531608843214989e-04	2.002247393312472e+00	
14	1.214285714285714e+00	1.000000000000000e+00	1.161559365927028e+00	8.076939775162747e+02	1.354590532096985e-02	5.309362611572908e+05	1.000479922525132e+05	3.000525431284614e+02	1.714009018326969e-04	2.002432717313477e+00	
15	1.193877551020408e+00	1.000000000000000e+00	1.161442828088085e+00	8.076415560484431e+02	9.124834936581070e-03	5.308886777642798e+05	1.000322697625386e+05	3.000354922234321e+02	1.152491519234380e-04	2.002560562716143e+00	
16	1.173469387755102e+00	1.000000000000000e+00	1.161363520664830e+00	8.076060144504552e+02	6.097739017434009e-03	5.308563223607804e+05	1.000215436527543e+05	3.000238071553535e+02	7.694161697961267e-05	2.002648179469731e+00	
17	1.153061224489796e+00	1.000000000000000e+00	1.161309931289124e+00	8.075820932974989e+02	4.041176914335406e-03	5.308344781761356e+05	1.000142769256260e+05	3.000158537209368e+02	5.098902009283069e-05	2.002707817470337e+00	
18	1.132653061224490e+00	1.000000000000000e+00	1.161273986081490e+00	8.075661151595710e+02	2.655306522873509e-03	5.308198394790418e+05	1.000093894059220e+05	3.000104784929929e+02	3.353359257858497e-05	2.002748123842825e+00	
19	1.112244897959184e+00	1.000000000000000e+00	1.161250059375368e+00	8.075555262002918e+02	1.729283448763688e-03	5.308101046285450e+05	1.000061267504436e+05	3.000068723979580e+02	2.188125158411692e-05	2.002775164652748e+00	
20	1.091836734693878e+00	1.000000000000000e+00	1.161234258148595e+00	8.075485655209682e+02	1.115948597898921e-03	5.308036821404203e+05	1.000039656692987e+05	3.000044715891623e+02	1.416310463838662e-05	2.002793167612594e+00	
21	1.071428571428571e+00	1.000000000000000e+00	1.161223907771597e+00	8.075440280440896e+02	7.134043333229171e-04	5.307994795551804e+05	1.000025457051501e+05	3.000028858043571e+02	9.091804107655275e-06	2.002805059016244e+00	
22	1.051020408163265e+00	1.000000000000000e+00	1.161217184566115e+00	8.075410955257529e+02	4.516830147004610e-04	5.307967526698404e+05	1.000016203993787e+05	3.000018468691176e+02	5.787140638390807e-06	2.002812849761649e+00	
23	1.030612244897959e+00	1.000000000000000e+00	1.161212854890898e+00	8.075392169177446e+02	2.831637260857786e-04	5.307949985519100e+05	1.000010225437771e+05	3.000011718945819e+02	3.651942061177190e-06	2.002817911258970e+00	
24	1.010204081632653e+00	1.000000000000000e+00	1.161210091108367e+00	8.075380242663417e+02	1.757332002966905e-04	5.307938801348708e+05	1.000006396141717e+05	3.000007371395643e+02	2.284336327388052e-06	2.002821171404070e+00	
25	9.897959183673468e-01	1.000000000000000e+00	1.161208342709655e+00	8.075372740380918e+02	1.079435504286469e-04	5.307931734578536e+05	1.000003965230681e+05	3.000004595706927e+02	1.416153814664410e-06	2.002823252842356e+00	
26	9.693877551020409e-01	1.000000000000000e+00	1.161207246757259e+00	8.075368065130289e+02	6.561290100430493e-05	5.307927310348914e+05	1.000002436009066e+05	3.000002839466161e+02	8.700032378068761e-07	2.002824569816111e+00	
27	9.489795918367347e-01	1.000000000000000e+00	1.161206566156099e+00	8.075365179198125e+02	3.946062306300075e-05	5.307924566312449e+05	1.000001482872340e+05	3.000001738406713e+02	5.295972643320317e-07	2.002825395481378e+00	
28	9.285714285714286e-01	1.000000000000000e+00	1.161206147470660e+00	8.075363414847204e+02	2.347814395143688e-05	5.307922880446747e+05	1.000000894347883e+05	3.000001054517380e+02	3.194099580598829e-07	2.002825908318188e+00	
29	9.081632653061225e-01	1.000000000000000e+00	1.161205892358350e+00	8.075362346629499e+02	1.381793609273096e-05	5.307921854576978e+05	1.000000534392224e+05	3.000000633739037e+02	1.908543656359793e-07	2.002826223852659e+00	
30	8.877551020408163e-01	1.000000000000000e+00	1.161205738405409e+00	8.075361706187248e+02	8.043948087873769e-06	5.307921236327885e+05	1.000000316335529e+05	3.000000377309896e+02	1.129769745602971e-07	2.002826416144496e+00	
31	8.673469387755104e-01	1.000000000000000e+00	1.161205646395785e+00	8.075361325974363e+02	4.631511959129108e-06	5.307920867338600e+05	1.000000185508575e+05	3.000000222537967e+02	6.625306242702730e-08	2.002826532205332e+00	
32	8.469387755102040e-01	1.000000000000000e+00	1.161205591938686e+00	8.075361102465863e+02	2.637541921355033e-06	5.307920649250565e+05	1.000000107773827e+05	3.000000130024856e+02	3.849065261809821e-08	2.002826601579343e+00	
33	8.265306122448980e-01	1.000000000000000e+00	1.161205560019541e+00	8.075360972362541e+02	1.485629392200742e-06	5.307920521601138e+05	1.000000062031535e+05	3.000000075261796e+02	2.215411955798378e-08	2.002826642645233e+00	
34	8.061224489795918e-01	1.000000000000000e+00	1.161205541491241e+00	8.075360897367920e+02	8.277214487188723e-07	5.307920447608458e+05	1.000000035374467e+05	3.000000043158865e+02	1.263373809966392e-08	2.002826666718676e+00	
35	7.857142857142858e-01	1.000000000000000e+00	1.161205530839204e+00	8.075360854557121e+02	4.562109299045760e-07	5.307920405130018e+05	1.000000019988730e+05	3.000000024521429e+02	7.138832162516859e-09	2.002826680694574e+00	
36	7.653061224489797e-01	1.000000000000000e+00	1.161205524773507e+00	8.075360830352071e+02	2.487809232857852e-07	5.307920380975492e+05	1.000000011193073e+05	3.000000013805321e+02	3.997526229276057e-09	2.002826688730402e+00	
37	7.448979591836735e-01	1.000000000000000e+00	1.161205521351892e+00	8.075360816795510e+02	1.342505079397268e-07	5.307920367369445e+05	1.000000006212172e+05	3.000000007702431e+02	2.218632705210310e-09	2.002826693306856e+00	
38	7.244897959183674e-01	1.000000000000000e+00	1.161205519439632e+00	8.075360809273081e+02	7.170579022093555e-08	5.307920359776072e+05	1.000000003417728e+05	3.000000004259467e+02	1.220617091998325e-09	2.002826695888676e+00	
39	7.040816326530613e-01	1.000000000000000e+00	1.161205518380612e+00	8.075360805136729e+02	3.791678012695823e-08	5.307920355576706e+05	1.000000001864267e+05	3.000000002335087e+02	6.658096806079683e-10	2.002826697331736e+00	
40	6.836734693877552e-01	1.000000000000000e+00	1.161205517799329e+00	8.075360802882378e+02	1.985409092068739e-08	5.307920353274915e+05	1.000000001008406e+05	3.000000001269259e+02	3.601448302755931e-10	2.002826698130983e+00	
41	6.632653061224490e-01	1.000000000000000e+00	1.161205517483036e+00	8.075360801664309e+02	1.029679896309791e-08	5.307920352024151e+05	1.000000000541000e+05	3.000000000684191e+02	1.932143537227863e-10	2.002826698569715e+00	
42	6.428571428571429e-01	1.000000000000000e+00	1.161205517312388e+00	8.075360801011681e+02	5.290010188251256e-09	5.307920351350233e+05	1.000000000287918e+05	3.000000000365818e+02	1.028277828092022e-10	2.002826698808458e+00	
43	6.224489795918368e-01	1.000000000000000e+00	1.161205517221077e+00	8.075360800664859e+02	2.692206167088992e-09	5.307920350990107e+05	1.000000000152023e+05	3.000000000194038e+02	5.429402725504979e-11	2.002826698937272e+00	
44	6.020408163265307e-01	1.000000000000000e+00	1.161205517172611e+00	8.075360800482022e+02	1.357065438603480e-09	5.307920350799207e+05	1.000000000079645e+05	3.000000000102116e+02	2.844468066801451e-11	2.002826699006202e+00	
45	5.816326530612246e-01	1.000000000000000e+00	1.161205517147089e+00	8.075360800386388e+02	6.771456532294702e-10	5.307920350698808e+05	1.000000000041402e+05	3.000000000053323e+02	1.478630500579519e-11	2.002826699042791e+00	
46	5.612244897959184e-01	1.000000000000000e+00	1.161205517133754e+00	8.075360800336761e+02	3.341688033305806e-10	5.307920350646417e+05	1.000000000021353e+05	3.000000000027626e+02	7.625931175425651e-12	2.002826699062060e+00	
47	5.408163265306123e-01	1.000000000000000e+00	1.161205517126842e+00	8.075360800311211e+02	1.626928109222254e-10	5.307920350619295e+05	1.000000000010925e+05	3.000000000014202e+02	3.901628328354232e-12	2.002826699072127e+00	
48	5.204081632653061e-01	1.000000000000000e+00	1.161205517123287e+00	8.075360800298166e+02	7.787545415409088e-11	5.307920350605367e+05	1.000000000005544e+05	3.000000000007244e+02	1.980047922448389e-12	2.002826699077345e+00	
