"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
28	8.046399950980000e-01	-2.518763605296113e-02	1.285240258364347e+00	3.401120523278142e+02	3.878137714934011e+01	2.972160755395798e+05	1.006516756491852e+05	2.728142391522535e+02	-1.483302383628466e-02	8.043784755331848e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	1.279919252901085e+00	3.409337940046417e+02	3.825925503825430e+01	2.961516207161451e+05	1.000689220547130e+05	2.723623012594753e+02	-2.767081582617351e-02	8.101820564063870e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	1.274630765969427e+00	3.417303001981467e+02	3.771852290529157e+01	2.950930761631493e+05	9.949032445930380e+04	2.719110115962923e+02	-4.041705308008625e-02	8.159551657192525e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	1.269357261437038e+00	3.425010186667651e+02	3.716012147583562e+01	2.940366832829639e+05	9.891421347865411e+04	2.714595817168093e+02	-5.310851136164318e-02	8.217084937849128e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	1.264056829130319e+00	3.432441292689364e+02	3.658187859476656e+01	2.929734365162686e+05	9.833661998769936e+04	2.710060727487502e+02	-6.583262865912014e-02	8.274671345865702e-01	
33	7.385200262070000e-01	-3.241453277608040e-02	1.258729446136148e+00	3.439681987408989e+02	3.598464254257551e+01	2.919039973840177e+05	9.775687691248335e+04	2.705485880757355e+02	-7.860410030305263e-02	8.332553027087427e-01	
34	7.245299816130000e-01	-3.386376679305321e-02	1.253377767899248e+00	3.446733759001784e+02	3.536492739488787e+01	2.908289087440057e+05	9.717526166766240e+04	2.700872463179979e+02	-9.141681497694823e-02	8.390714817067120e-01	
35	7.103199958800001e-01	-3.530689307158652e-02	1.247992727689175e+00	3.453533613011786e+02	3.472474960730846e+01	2.897457872371851e+05	9.659135104414907e+04	2.696227483941930e+02	-1.042800957811439e-01	8.449068978194338e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	1.242585112550316e+00	3.460213512494672e+02	3.405926604254104e+01	2.886579069350855e+05	9.600521049328553e+04	2.691528627803092e+02	-1.171925008528619e-01	8.507895544884950e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	1.237114772876043e+00	3.466616401956593e+02	3.336830780296504e+01	2.875556013360487e+05	9.541407815401096e+04	2.686784356452546e+02	-1.302148727130926e-01	8.567087495422676e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	1.231590269583055e+00	3.472868864510480e+02	3.265008632748500e+01	2.864416811578127e+05	9.481779442664183e+04	2.681970182663299e+02	-1.433507272690019e-01	8.626948394391925e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	1.225986433212700e+00	3.478948106227770e+02	3.190062983951062e+01	2.853106883775895e+05	9.421403064749736e+04	2.677073315353081e+02	-1.566513639037802e-01	8.687633496235805e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	1.220299329016758e+00	3.484835445249082e+02	3.112166306056454e+01	2.841616883663209e+05	9.360249292855898e+04	2.672091886480994e+02	-1.701232568344662e-01	8.749160106864617e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	1.214512805180963e+00	3.490569506083265e+02	3.030533335290680e+01	2.829915953478714e+05	9.298126165667115e+04	2.667004091613137e+02	-1.838086942504857e-01	8.811790917810850e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	1.208619639322129e+00	3.496101101136891e+02	2.945497621760283e+01	2.817985845551199e+05	9.234994441234005e+04	2.661811742959464e+02	-1.977163209716778e-01	8.875498125501003e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	1.202609288883667e+00	3.501474225168296e+02	2.856140867001529e+01	2.805808122943690e+05	9.170712646780719e+04	2.656494229621125e+02	-2.118773027958304e-01	8.940527100718793e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	1.196481631429196e+00	3.506631110067467e+02	2.762695492204736e+01	2.793378387828737e+05	9.105318556772455e+04	2.651059372460199e+02	-2.262833181830798e-01	9.006771676259153e-01	
45	5.590599775310000e-01	-4.872955796694115e-02	1.190229277468330e+00	3.511607595648397e+02	2.664375173335191e+01	2.780684436931693e+05	9.038706193262112e+04	2.645489158584107e+02	-2.409577135847098e-01	9.074443368489087e-01	
46	5.433599948880000e-01	-4.989683951066199e-02	1.183858571249725e+00	3.516336146418927e+02	2.561518306921686e+01	2.767734765647356e+05	8.970986592446399e+04	2.639798210226696e+02	-2.558760282404571e-01	9.143355654130325e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	1.177397291080406e+00	3.520803455828607e+02	2.453305204111146e+01	2.754586165042368e+05	8.902449858442906e+04	2.634006542180590e+02	-2.709743535558082e-01	9.213258404431401e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	1.170894413529957e+00	3.524909000174437e+02	2.339156532179356e+01	2.741332593476800e+05	8.833677878494239e+04	2.628174335047224e+02	-2.861245024641713e-01	9.283428748324556e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	1.164357958789571e+00	3.528778045670996e+02	2.217709648204622e+01	2.728001233110306e+05	8.764648655606367e+04	2.622275640667855e+02	-3.013313208015299e-01	9.354181270041030e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	1.157614227088413e+00	3.532513528140875e+02	2.089523797454462e+01	2.714240482215285e+05	8.693492850739107e+04	2.616138854834800e+02	-3.170066153072003e-01	9.427557281376481e-01	
