"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	1.500000000000000e+00	1.000000000000000e+00	1.161235184995063e+00	8.075515622983035e+02	7.949945290083728e-03	5.308045731813988e+05	1.000035781103016e+05	3.000030694916003e+02	1.277896536297963e-05	2.002803681584687e+00	
1	1.479591836734694e+00	1.000000000000000e+00	1.161211940054311e+00	8.075394289803663e+02	8.583334565577248e-03	5.307947489298090e+05	1.000007752059599e+05	3.000006662348953e+02	2.768592714086741e-06	2.002821703102107e+00	
2	1.459183673469388e+00	1.000000000000000e+00	1.161198114310156e+00	8.075322088622064e+02	7.675290756678092e-03	5.307889049350122e+05	9.999910875685707e+04	2.999992387978382e+02	-3.183011224765714e-06	2.002832407213389e+00	
3	1.438775510204082e+00	1.000000000000000e+00	1.161202343393194e+00	8.075344146081578e+02	7.847159168316103e-03	5.307906919713325e+05	9.999961905038943e+04	2.999996770894986e+02	-1.360534323456315e-06	2.002829120533927e+00	
4	1.418367346938776e+00	1.000000000000000e+00	1.161205046242148e+00	8.075358258472006e+02	8.097858754905745e-03	5.307918343873349e+05	9.999994488071308e+04	2.999999562943610e+02	-1.968545961322629e-07	2.002827026823300e+00	
5	1.397959183673469e+00	1.000000000000000e+00	1.161204460964515e+00	8.075355210859525e+02	7.605634680813295e-03	5.307915871714911e+05	9.999987416105474e+04	2.999998953430725e+02	-4.494248044855861e-07	2.002827483886811e+00	
6	1.377551020408163e+00	1.000000000000000e+00	1.161203949428526e+00	8.075352550863771e+02	6.614001209595132e-03	5.307913711747235e+05	9.999981228033443e+04	2.999998418572414e+02	-6.704273770342948e-07	2.002827884968012e+00	
7	1.357142857142857e+00	1.000000000000000e+00	1.161203879153848e+00	8.075352195633919e+02	5.438580288644700e-03	5.307913417022753e+05	9.999980357801027e+04	2.999998339058656e+02	-7.015071061947052e-07	2.002827944593907e+00	
8	1.336734693877551e+00	1.000000000000000e+00	1.161204024792050e+00	8.075352965352698e+02	4.447716955030856e-03	5.307914034428205e+05	9.999982095128104e+04	2.999998483997675e+02	-6.394597105619533e-07	2.002827835906487e+00	
9	1.316326530612245e+00	1.000000000000000e+00	1.161204403645515e+00	8.075354951705347e+02	3.587080053823830e-03	5.307915637361219e+05	9.999986645944584e+04	2.999998870467224e+02	-4.769305505760713e-07	2.002827546099564e+00	
